               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  77,            0.044356,             0.21926,            0.017012,             0.53195,             0.45871,             0.46195,             0.26946,            0.043925,              0.3548,            0.020243,            0.006238,            0.006238,            0.006238
                  78,            0.044252,             0.21978,            0.017038,             0.53524,             0.45479,             0.46163,             0.26873,            0.043958,             0.35497,            0.020204,           0.0061885,           0.0061885,           0.0061885
                  79,            0.044258,             0.21986,            0.016931,              0.5327,              0.4552,             0.46293,             0.26999,            0.043918,             0.35415,            0.020145,            0.006139,            0.006139,            0.006139
                  80,            0.044045,              0.2175,            0.016849,             0.53484,             0.45863,             0.46289,              0.2699,            0.043824,             0.35444,            0.020083,           0.0060895,           0.0060895,           0.0060895
                  81,            0.044014,              0.2186,            0.016938,             0.53107,             0.46274,             0.46472,             0.27089,            0.043848,             0.35392,             0.02009,             0.00604,             0.00604,             0.00604
                  82,            0.044029,             0.21824,            0.016683,             0.53207,             0.46635,             0.46492,             0.27092,            0.043782,             0.35381,            0.020055,           0.0059905,           0.0059905,           0.0059905
                  83,            0.044094,             0.21829,              0.0169,             0.53424,             0.46291,             0.46547,             0.27199,            0.043756,             0.35409,            0.020005,            0.005941,            0.005941,            0.005941
                  84,            0.044015,             0.21836,            0.016764,             0.54794,             0.45722,             0.46669,             0.27176,            0.043796,             0.35415,            0.020029,           0.0058915,           0.0058915,           0.0058915
                  85,            0.043816,             0.21587,            0.016797,               0.544,               0.461,             0.46814,             0.27318,            0.043749,             0.35431,             0.01999,            0.005842,            0.005842,            0.005842
                  86,            0.043676,             0.21737,            0.016684,             0.54766,             0.46182,             0.46852,              0.2735,            0.043698,             0.35397,            0.019985,           0.0057925,           0.0057925,           0.0057925
                  87,            0.043921,             0.21957,            0.016695,             0.54277,              0.4697,             0.47002,             0.27429,            0.043712,             0.35364,            0.019908,            0.005743,            0.005743,            0.005743
                  88,            0.043696,             0.21853,            0.016458,             0.54693,              0.4609,                0.47,             0.27381,            0.043676,             0.35371,            0.019928,           0.0056935,           0.0056935,           0.0056935
                  89,            0.043595,             0.21607,            0.016567,             0.54893,             0.45988,             0.46958,              0.2743,            0.043663,             0.35398,            0.019977,            0.005644,            0.005644,            0.005644
                  90,            0.043521,             0.21505,            0.016335,             0.54422,             0.46145,             0.46955,             0.27508,            0.043658,             0.35391,            0.019995,           0.0055945,           0.0055945,           0.0055945
                  91,              0.0438,             0.21823,            0.016513,              0.5447,             0.46435,             0.46972,             0.27522,            0.043619,             0.35346,            0.019933,            0.005545,            0.005545,            0.005545
                  92,            0.043456,             0.21457,            0.016259,             0.54256,             0.46943,             0.46905,             0.27438,            0.043625,             0.35347,            0.019934,           0.0054955,           0.0054955,           0.0054955
                  93,            0.043514,             0.21722,            0.016282,             0.54379,             0.46671,             0.46869,             0.27546,            0.043624,              0.3538,            0.019928,            0.005446,            0.005446,            0.005446
                  94,            0.043253,             0.21826,            0.016263,             0.53899,             0.46945,             0.46997,             0.27596,            0.043583,             0.35346,            0.019858,           0.0053965,           0.0053965,           0.0053965
                  95,            0.043174,              0.2146,            0.016249,             0.54045,             0.46951,             0.47236,             0.27639,            0.043573,             0.35323,            0.019826,            0.005347,            0.005347,            0.005347
                  96,            0.043149,             0.21534,            0.015991,             0.54268,             0.47041,             0.47245,             0.27638,            0.043573,             0.35344,            0.019837,           0.0052975,           0.0052975,           0.0052975
                  97,            0.043187,             0.21638,            0.016082,             0.54224,             0.46856,             0.47208,             0.27659,            0.043567,             0.35368,            0.019849,            0.005248,            0.005248,            0.005248
                  98,            0.043152,             0.21321,            0.016051,              0.5419,             0.47065,             0.47313,             0.27734,            0.043557,             0.35366,             0.01983,           0.0051985,           0.0051985,           0.0051985
                  99,             0.04331,             0.21572,            0.016034,             0.54633,             0.46924,             0.47369,              0.2771,            0.043516,             0.35355,            0.019807,            0.005149,            0.005149,            0.005149
                 100,            0.043036,             0.21349,            0.015979,             0.54454,             0.47159,             0.47434,              0.2769,            0.043491,              0.3535,            0.019785,           0.0050995,           0.0050995,           0.0050995
                 101,            0.042748,             0.21124,            0.015856,             0.55102,             0.46864,             0.47444,             0.27777,             0.04349,             0.35339,            0.019769,             0.00505,             0.00505,             0.00505
                 102,            0.043054,             0.21353,            0.015924,             0.55243,             0.46445,             0.47378,              0.2776,            0.043492,             0.35353,            0.019756,           0.0050005,           0.0050005,           0.0050005
                 103,            0.043069,              0.2135,            0.015926,             0.55457,             0.46564,             0.47434,               0.278,            0.043486,              0.3535,             0.01976,            0.004951,            0.004951,            0.004951
                 104,             0.04311,              0.2128,            0.016036,             0.55357,             0.46766,             0.47468,             0.27823,            0.043476,             0.35372,            0.019758,           0.0049015,           0.0049015,           0.0049015
                 105,            0.042846,              0.2134,            0.015777,             0.55017,             0.46982,             0.47459,             0.27809,            0.043457,             0.35365,            0.019772,            0.004852,            0.004852,            0.004852
                 106,            0.042739,             0.21055,            0.015743,             0.55071,             0.46733,             0.47525,             0.27858,            0.043432,             0.35339,            0.019756,           0.0048025,           0.0048025,           0.0048025
                 107,            0.042727,             0.21232,            0.015786,              0.5533,             0.46642,             0.47589,             0.27912,            0.043414,             0.35325,            0.019744,            0.004753,            0.004753,            0.004753
                 108,            0.042723,             0.21368,             0.01576,             0.55033,             0.46902,             0.47655,             0.27928,            0.043394,             0.35284,            0.019739,           0.0047035,           0.0047035,           0.0047035
                 109,            0.042698,             0.21222,            0.015699,             0.54781,             0.47243,              0.4769,             0.27937,            0.043371,             0.35273,            0.019731,            0.004654,            0.004654,            0.004654
                 110,            0.042681,             0.21127,            0.015725,              0.5502,             0.47178,             0.47587,             0.27904,            0.043376,             0.35279,            0.019721,           0.0046045,           0.0046045,           0.0046045
                 111,            0.042686,             0.21253,            0.015394,             0.55349,             0.46533,             0.47611,             0.27933,            0.043362,             0.35287,            0.019714,            0.004555,            0.004555,            0.004555
